,Movie Title,Review,Number of RT Reviews,Year,movie_ID,movie_title,year,genres,avg_rating,numVotes,directorID,director_name
77,Dancer in the Dark,68%,117,2000,tt0168629,Dancer in the Dark,2000,"Crime,Drama,Musical",8.0,92707.0,nm0001885,Lars von Trier
78,U-571,68%,115,2000,tt0141926,U-571,2000,"Action,War",6.6,72201.0,nm0609236,Jonathan Mostow
79,Shaft,67%,115,2000,tt0162650,Shaft,2000,"Action,Crime,Thriller",5.9,65013.0,nm0005436,John Singleton
80,Grateful Dawg,70%,43,2000,tt0265212,Grateful Dawg,2000,Documentary,7.3,289.0,nm0342601,Gillian Grisman
81,Timecode,68%,81,2000,tt0220100,Timecode,2000,"Drama,Romance",6.2,6215.0,nm0001214,Mike Figgis
82,About Adam,68%,57,2000,tt0199314,About Adam,2000,"Comedy,Romance",5.9,6145.0,nm0826437,Gerard Stembridge
83,Boiler Room,66%,101,2000,tt0181984,Boiler Room,2000,"Crime,Drama,Thriller",7.0,46168.0,nm0950226,Ben Younger
84,Small Time Crooks,66%,100,2000,tt0196216,Small Time Crooks,2000,"Comedy,Crime",6.7,34539.0,nm0000095,Woody Allen
85,Dinosaur,65%,122,2000,tt0130623,Dinosaur,2000,"Adventure,Animation,Family",6.5,46968.0,"nm0500343,nm0957798",
86,Dinosaur,65%,122,2000,tt0279776,Dinosaur,2000,Family,6.6,26.0,\N,
87,The Yards,64%,96,2000,tt0138946,The Yards,2000,"Crime,Drama,Romance",6.4,18264.0,nm0336695,James Gray
88,Bring It On,63%,117,2000,tt0204946,Bring It On,2000,"Comedy,Romance,Sport",6.0,80315.0,nm0715636,Peyton Reed
89,Anywhere but Here,64%,89,2000,,,,,,,,
90,Chocolat,62%,117,2000,tt0241303,Chocolat,2000,"Drama,Romance",7.3,167294.0,nm0002120,Lasse Hallström
91,Saving Grace,63%,89,2000,tt0195234,Saving Grace,2000,"Comedy,Crime",6.9,16716.0,nm0170719,Nigel Cole
92,The Patriot,61%,134,2000,tt0187393,The Patriot,2000,"Action,Drama,History",7.2,235582.0,nm0000386,Roland Emmerich
93,The Patriot,61%,134,2000,tt0594937,The Patriot,2000,"Documentary,Short",7.3,19.0,\N,
94,Der Krieger und die Kaiserin (The Princess and the Warrior),63%,83,2000,,,,,,,,
95,Return to Me,62%,99,2000,tt0122459,Return to Me,2000,"Comedy,Drama,Romance",6.9,18362.0,nm0001372,Bonnie Hunt
96,Wonderland,63%,70,2000,tt0209557,Wonderland,2000,Drama,7.4,131.0,"nm0779641,nm0568224,nm0171315,nm0000916",
97,The Claim,62%,85,2000,tt0218378,The Claim,2000,"Drama,Romance,Western",6.5,5705.0,nm0935863,Michael Winterbottom
98,The Tigger Movie,62%,74,2000,tt0220099,The Tigger Movie,2000,"Animation,Comedy,Drama",6.3,15558.0,nm0266255,Jun Falkenstein
99,Pitch Black,59%,109,2000,tt0134847,Pitch Black,2000,"Horror,Sci-Fi",7.1,212805.0,nm0878638,David Twohy
100,Mission: Impossible 2,57%,148,2000,,,,,,,,
101,Alice et Martin,61%,44,2000,,,,,,,,
102,Kikujiro,60%,50,2000,,,,,,,,
103,The Gift,57%,119,2000,tt0219699,The Gift,2000,"Drama,Fantasy,Horror",6.7,58173.0,nm0000600,Sam Raimi
104,The Gift,57%,119,2000,tt0520807,The Gift,2000,"Drama,Romance",6.6,9.0,nm0520495,Rebecca Lord
105,The Gift,57%,119,2000,tt0587971,The Gift,2000,Drama,9.2,5.0,nm0716257,Matt Reeves
106,The Gift,57%,119,2000,tt0670879,The Gift,2000,"Comedy,Drama",5.3,7.0,nm0697002,Leland Price
107,The Gift,57%,119,2000,tt0680124,The Gift,2000,"Drama,Romance",6.3,10.0,nm0870306,Ian Toynton
108,Road Trip,57%,91,2000,tt0215129,Road Trip,2000,"Adventure,Comedy",6.5,147514.0,nm0680846,Todd Phillips
109,Hamlet,57%,89,2000,tt0171359,Hamlet,2000,"Drama,Romance,Thriller",6.0,8707.0,nm0021899,Michael Almereyda
110,Hamlet,57%,89,2000,tt0243951,Hamlet,2000,Drama,6.1,211.0,"nm0800787,nm0001714",
111,Hamlet,57%,89,2000,tt0357719,Hamlet,2000,"Drama,Music",7.9,11.0,nm0488108,Brian Large
112,Dr. T and the Women,56%,108,2000,,,,,,,,
113,Godzilla 2000,57%,69,2000,,,,,,,,
114,Groove,57%,51,2000,tt0212974,Groove,2000,"Drama,Music",6.5,3838.0,nm0365615,Greg Harrison
115,"Monsters, Inc.",96%,193,2001,tt0198781,"Monsters, Inc.",2001,"Adventure,Animation,Comedy",8.1,729134.0,"nm0881279,nm0798899,nm0230032",
116,"Monsters, Inc.",96%,193,2001,tt0338261,"Monsters, Inc.",2001,"Action,Adventure,Family",7.5,725.0,nm0140443,Douglas Carrigan
117,"Crouching Tiger, Hidden Dragon",97%,153,2001,,,,,,,,
118,The Dish,96%,98,2001,,,,,,,,
119,The Lord of the Rings: The Fellowship of the Ring,91%,228,2001,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.8,1488241.0,nm0001392,Peter Jackson
120,Werckmeister Harmonies,98%,40,2001,,,,,,,,
121,With a Friend like Harry...,96%,92,2001,,,,,,,,
122,Time Out (L' Emploi du temps),96%,84,2001,,,,,,,,
123,In the Bedroom,93%,138,2001,tt0247425,In the Bedroom,2001,"Crime,Drama",7.4,35174.0,nm0276062,Todd Field
124,I'm Going Home,96%,54,2001,tt0283422,I'm Going Home,2001,"Comedy,Drama",7.0,1588.0,nm0210701,Manoel de Oliveira
125,Ghost World,92%,157,2001,tt0162346,Ghost World,2001,"Comedy,Drama",7.4,106264.0,nm0959062,Terry Zwigoff
126,Spy Kids,93%,127,2001,tt0227538,Spy Kids,2001,"Action,Adventure,Comedy",5.5,98407.0,nm0001675,Robert Rodriguez
127,The Endurance,95%,65,2001,,,,,,,,
128,Lagaan: Once Upon a Time in India,95%,59,2001,tt0169102,Lagaan: Once Upon a Time in India,2001,"Adventure,Drama,Musical",8.1,91741.0,nm0332950,Ashutosh Gowariker
129,Y Tu Mama Tambien,92%,137,2001,,,,,,,,
130,Hedwig and the Angry Inch,93%,108,2001,tt0248845,Hedwig and the Angry Inch,2001,"Comedy,Drama,Music",7.8,29278.0,nm0593463,John Cameron Mitchell
131,No Man's Land,93%,98,2001,tt0283509,No Man's Land,2001,"Drama,War",8.0,41779.0,nm0849786,Danis Tanovic
132,Sous le sable (Under the Sand),94%,71,2001,,,,,,,,
133,Last Resort,94%,70,2001,,,,,,,,
134,The Devil's Backbone (El Espinazo del diablo),92%,119,2001,,,,,,,,
135,Amores Perros,92%,116,2001,,,,,,,,
