,genre_ids,id,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,release_month
45,"[28, 12, 99]",466084,Memento - A Boulder Life Line,"What happens when a crazy filmmaker meets a crazy boulder and they decide to make a film together? It could be called pre-programmed chaos or the beginning of a common vision. After nearly two years of work, the film is finished, pure soul has come out! Camera and direction show boulders in a unique style. The philsophy and climbing art of Bernd Zangerl set the crown on the film. The locations were Ticino, Magic Wood and the mountains of the Silvretta. Each area has its own character, its own style and ambience. 'Every centimeter has its meaning. As with Humbold's natural vision, thought and feeling merge, and here the symbiosis of man and rock, man's stone, humanized petrified. ""  The film shows Bernd Zangerl, Barbara Zangerl and Thomas ""Steini"" Steinbrugger during bouldering at Magic Wood, Silvretta and Ticino. The best and most beautiful first visits by Bernd Zangerl are documented as well as spectacular highballs and low water soloing.",0.6,2006-01-01,Memento - A Boulder Life Line,0.0,0,2006.0,1.0
46,[35],13785,Best in Show,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",7.376,2000-09-19,Best in Show,7.1,248,2000.0,9.0
47,[35],352510,Fantasia in Best Show Minor,"Fantasia in Best Show Minor is the first and only ever Best Show on WFMU DVD Release! It features stuff you’re never going to believe, puppets. animation, sketches, travelogues from callers, and guest appearances from Patton Oswalt, Ted Leo, Paul F. Tompkins, Zach Galifinakis, Fucked Up, Tim and Eric, John Hodgeman, Aimee Mann, Scharpling and Wurster, Yo La Tengo, Kurt Vile, Matt Fracton, Todd Barry, and Jason Woliner. The DVD was available exclusively during the 2010 WFMU pledge drive.",0.901,2010-01-01,Fantasia in Best Show Minor,0.0,0,2010.0,1.0
48,[],338169,Strawberry Shortcake: Berry Best in Show,"Strawberry Shortcake and her pals meet some new furry friends in these delightful ""tails"" about being yourself and encouraging others to do the same. Strawberry helps out some stray pooches in ""A Boy and His Dogs."" Blueberry Muffin and Huck become ""Partners in Crime"" when they try to write a mystery story. And the girls start a dog shelter in ""The Mystery of the Disappearing Dog Show.""",0.6,2015-04-28,Strawberry Shortcake: Berry Best in Show,0.0,0,2015.0,4.0
49,"[53, 18, 80]",1900,Traffic,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",11.583,2000-12-27,Traffic,7.0,963,2000.0,12.0
50,"[35, 18]",11129,Human Traffic,"Five twenty-something friends spend a drug-fueled weekend in Cardiff, Wales.",5.69,1999-06-04,Human Traffic,6.8,153,1999.0,6.0
51,[53],142948,ട്രാഫിക്,An emotional thriller based on a road trip from Kochi to Palakkad. Inspired from the real events that happened in Chennai.,1.199,2011-01-07,Traffic,7.5,14,2011.0,1.0
52,[18],504195,டிராஃபிக் ராமசாமி,"Social activist Traffic Ramasamy takes on the corrupt and powerful in his quest for justice. Can he succeed to bring them down, especially when they are keen to finish him off for good?",1.965,2018-06-22,Traffic Ramasamy,4.0,2,2018.0,6.0
53,"[16, 35, 18]",30593,Heavy Traffic,"An ""underground"" cartoonist contends with life in the inner city, where various unsavory characters serve as inspiration for his artwork.",2.637,1973-08-08,Heavy Traffic,6.9,30,1973.0,8.0
54,[16],162285,Traffic Troubles,"Mickey is driving a taxi. His first fare is a very large gentleman. Mickey stops traffic and gets a tongue-lashing from the officer. The cab runs into some bad road, bounces the fare down to almost nothing, then bounces the customer right out of the cab. Mickey pulls up to the curb and picks up his second passenger, Minnie. She plays her accordion while they ride. The cab gets a flat tire, and Mickey uses a pig to pump it up.",1.96,1931-03-16,Traffic Troubles,6.1,7,1931.0,3.0
55,[99],16464,Traffic Crossing Leeds Bridge,"A film by Louis Aimé Augustin Le Prince, shot in late October 1888, showing pedestrians and carriages crossing Leeds Bridge.",2.17,1888-10-15,Traffic Crossing Leeds Bridge,5.9,34,1888.0,10.0
56,[99],491206,Traffic Stop,"Breaion King, a 26 year-old African-American school teacher from Austin, Texas,- is pulled over for a routine traffic stop that escalates into a violent arrest. Dashcam clips intercut with verite scenes tell a story of racism in law enforcement through the eyes of one of its victims.",1.628,2017-11-14,Traffic Stop,6.3,13,2017.0,11.0
57,"[28, 53, 80]",175240,Point Doom,"A Hollywood talent agent's girlfriend thrusts him into a world of strip clubs, drugs and deadly motorcycle gangs.",1.75,2000-06-08,Point Doom,7.5,2,2000.0,6.0
58,"[18, 28, 80]",291844,Illegal Traffic,"G-Man Charles Bent Martin is sent out to break up a nationwide racket. A transport company is aiding fugitives making a getaway in exchange for the lion's share of their loot. Through an old friend, whom he once barnstormed in an air circus, Martin joins the gang as a pilot. He becomes interested in Carol Butler, a beautiful girl involved with the gang through the activities of her ne'er-do-well father.",1.346,1938-11-02,Illegal Traffic,0.0,0,1938.0,11.0
59,[],463156,Traffic,Traffic 2014 Telugu Movie,0.6,,Traffic,0.0,0,,
60,[99],480884,Traffic,"The real truth behind the child protection system. Social workers, Judges, Lawyers and Guardians of the court all working together to secure the removal of children from their families and traffic them around the UK.",0.6,2014-11-30,Traffic,5.0,1,2014.0,11.0
61,[],490165,Traffic,"Pursuing a visual search regarding a reference that is common to other works, this audiovisual essay highlights the affinity between nature and labor. We are now able to see the ancestral tension between the organic and the artificial poetically dwell in the static shot, where the choreography of the birds, the rational metric of the constructors and the lapping of the water in the background coexist.",0.6,2015-01-01,Traffic,0.0,0,2015.0,1.0
62,[35],60046,Il vigile,An unemployed man gets a job as traffic policeman but the traffic in the big city creates innumerous problems for the poor guy.,2.878,1960-01-01,The Traffic Policeman,7.7,61,1960.0,1.0
63,[35],50118,Tráfico,"Young Jesus (Joaquim Oliviera) is taken on a vacation by his parents (Rita Blanco, Adriano Luz) to a deserted beach resort. They accidentally fall into overnight wealth after Jesus digs in the sand, uncovering a large drug stash. Others characters intersecting here include an alcoholic actress, a philandering banker, a general trafficking in arms, priests who close their church and head north as hitchhikers, politicians who watch an all-girl production of Julius Caesar, and beggars who recite a children's story in a huge heap of trash.",1.053,1998-12-31,Traffic,5.8,4,1998.0,12.0
64,[35],54917,Traffic Warden,"A comic short – in fact, a bite-size romantic comedy – in which a serendipitous series of events leads a traffic warden (played by David Tennant) to find true love.",1.052,2005-01-01,Traffic Warden,7.3,3,2005.0,1.0
65,[35],333624,Balkan Traffic – Übermorgen Nirgendwo,This documentary feature addresses the question of how gay men lived and could live their lives under 'real socialism'...,0.877,2007-01-01,Balkan Traffic,10.0,1,2007.0,1.0
66,[18],96128,Traffic in Souls,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.",1.4,1913-11-24,Traffic in Souls,6.2,6,1913.0,11.0
67,"[18, 80]",167179,Drogówka,"Seven policemen, seven deadly sins, a murder case, secrets and the filth of everyday police work: Traffic Department transports the viewer into the darkest Warsaw streets.",2.262,2013-01-31,Traffic Department,6.9,25,2013.0,1.0
68,[18],46426,Traffic Signal,"Silsila is the ""manager"" of one traffic signal, that is he collects the ""hafta"" (protection tax) from each signal squatter plying his trade. There's Tsunami, a little scavenger boy, there's Rani - a Gujrati girl selling ethnic clothes on the sidewalk, and there's Dominic - a drug addict and the prostitute who feels for him...",0.933,2007-02-07,Traffic Signal,6.7,3,2007.0,2.0
69,"[18, 53]",12706,Croupier,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",5.8,1998-06-25,Croupier,6.9,109,1998.0,6.0
70,"[35, 18, 10749, 10402]",243,High Fidelity,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.",7.944,2000-03-17,High Fidelity,7.2,970,2000.0,3.0
71,[],373690,High Fidelity,"In this animated short, a half-naked woman dances with her black-suited partner.",0.6,1978-01-13,High Fidelity,0.0,0,1978.0,1.0
72,"[16, 10749]",361546,High Fidelity,Early computed animation in which two characters meet and fall in love.,0.6,1982-01-01,High Fidelity,0.0,0,1982.0,1.0
73,"[27, 53]",42941,30 Days of Night: Dark Days,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",8.401,2010-10-04,30 Days of Night: Dark Days,4.6,212,2010.0,10.0
74,[99],14273,Dark Days,A cinematic portrait of the homeless population who live permanently in the underground tunnels of New York City.,2.085,2000-08-30,Dark Days,7.6,48,2000.0,8.0
75,[18],373450,Dark Night,"Dark Night enigmatically unfolds over the course of a lazy summer day, as it traces the events leading up to a mass shooting in a suburban multiplex. Abandoning the narrative confines of the true crime genre, the story is told through fragmented moments from the lives of several characters, whose fates are tragically intertwined. As the sky grows darker, the placid surface of daily life becomes disturbed by a lurking and inevitable horror.",1.813,2017-08-18,Dark Night,5.6,13,2017.0,8.0
76,"[18, 53]",190187,Dark Days,A man goes trough dark days,0.6,2012-10-02,Dark Days,0.0,0,2012.0,10.0
77,[27],375655,6 Days Dark,"The victim of an ancient Gypsy curse, a young Serbian woman's world becomes surreal and deadly.",0.6,2015-11-20,6 Days Dark,5.0,3,2015.0,11.0
78,[99],428461,Going Dark: The Final Days of Film Projection,"Hollywood has made up their minds, forcing theaters to convert to digital or go dark. As theaters around the world change to newer digital technology, the job of the 35mm film projectionist is becoming irrelevant. Going Dark profiles two theater projectionists during their final days on the job.",0.6,,Going Dark: The Final Days of Film Projection,0.0,0,,
79,"[28, 27, 878]",18440,Days of Darkness,"When a comet strikes Earth and kicks up a cloud of toxic dust, hundreds of humans join the ranks of the living dead. But there's bad news for the survivors: The newly minted zombies are hell-bent on eradicating every last person from the planet. For the few human beings who remain, going head to head with the flesh-eating fiends is their only chance for long-term survival. Yet their battle will be dark and cold, with overwhelming odds.",1.534,2007-01-01,Days of Darkness,4.7,9,2007.0,1.0
80,[],386402,Three Days of Darkness,Girls are hidden in a dark room.,0.6,2007-01-01,Three Days of Darkness,0.0,0,2007.0,1.0
81,"[18, 36]",539825,La grande noirceur,"While a world war rages, Philippe, a draft-dodger from Quebec, takes refuge in the American West, surviving by competing in Charlie Chaplin impersonation contests. As Philippe makes his long journey home, he encounters various characters under the sway of a destructive madness borne of the chaotic times. His voyage, both violent and fascinating, is a hallucinatory initiation to the darker side of the American dream.",1.142,2019-01-25,The Great Darkened Days,0.0,0,2019.0,1.0
82,[],387799,Los días más oscuros de nosotras,"The death of her sister has haunted Ana since her childhood. Ana has returned to Tijuana, her hometown, where she will have to fight this fragmented, cloudy and painful memory.",1.4,2018-03-15,The Darkest Days of Us,0.0,0,2018.0,3.0
83,"[35, 18, 14]",24173,L'âge des ténèbres,"Jean-Marc is a man without qualities living in times that are out of joint. His wife and children ignore him; he's a mid-level government functionary in Montreal doing his job without care. He has an active imagination of sexual conquest, but his only real feelings come when he visits his aged mother, whose health is failing. When his wife leaves abruptly to work in Toronto, Jean-Marc sets out to reorder things with his daughters, his social life, and at work. In a world that at best is a farce, does he stand a chance?",1.864,2007-05-27,Days of Darkness,6.4,30,2007.0,5.0
84,[18],36210,一個都不能少,"Teacher Gao loves the students in his poor village and is devoted to educating them in the hope of their greater futures. When he is called away to tend to his dying mother for a month, the Mayor calls in an inexperienced 13 year-old replacement, Wei Minzhi; much to Teacher Gao's dismay. Teacher Gao cannot stand the thought of losing anymore students: he has already lost twelve to ever-increasing attrition, and he promises Wei an extra 10 yuan if she succeeds in ensuring that upon his return, there will be not one less. Wei's difficult mission to fulfill Teacher Gao's wish and her own concern for the welfare of the children begins.",2.6,1999-09-07,Not One Less,7.6,61,1999.0,9.0
85,"[99, 10402]",27745,The Filth and the Fury,"Julien Temple's second documentary profiling punk rock pioneers the Sex Pistols is an enlightening, entertaining trip back to a time when the punk movement was just discovering itself. Featuring archival footage, never-before-seen performances, rehearsals, and recording sessions as well as interviews with group members who lived to tell the tale--including the one and only John Lydon (aka Johnny Rotten).",1.892,2000-03-29,The Filth and the Fury,7.3,36,2000.0,3.0
86,"[18, 10402]",786,Almost Famous,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band Stillwater—fronted by lead guitar Russell Hammond, and lead singer Jeff Bebe William.  A semi-autobiographical film based on director Cameron Crowe's time as a teenage writer for Rolling Stone.",11.466,2000-09-15,Almost Famous,7.5,1289,2000.0,9.0
87,"[18, 10751]",465950,כמעט מפורסמת,"15-year-old Shir longs to be one of the popular kids. When her brother Tomer is unexpectedly accepted into a television music program, she too can enjoy the glamour surrounding him. At first, her brother's fame is too good to be true, but as the time passes, Shir realizes things may not be as great as they seem. Will a song win everything she dreams about now when it's almost famous?",0.919,2017-12-14,Almost Famous,4.0,1,2017.0,12.0
88,[35],417026,Russell Peters: Almost Famous,"The comic comes home to Toronto to sound off on cultural quirks, furniture building and bathroom visits, reveling in all things ridiculously human.",1.096,2016-10-07,Russell Peters: Almost Famous,7.0,21,2016.0,10.0
