,Movie Title,Review,Number of RT Reviews,Year
222,Nine Queens (Nueve reinas),92%,95,2002
223,The Kid Stays in the Picture,91%,112,2002
224,Scratch,93%,46,2002
225,Atanarjuat: The Fast Runner (Atanarjuat),91%,97,2002
226,Standing in the Shadows of Motown,91%,92,2002
227,Alias Betty (Betty Fisher and Other Stories)(Betty Fisher et autres histoires),92%,51,2002
228,Lantana,90%,105,2002
229,Chicago,85%,255,2002
230,The Weather Underground,91%,58,2002
231,Murderous Maids,91%,53,2002
232,Russian Ark,89%,104,2002
233,The Girl From Paris,91%,43,2002
234,Roger Dodger,88%,123,2002
235,About Schmidt,85%,203,2002
236,Rabbit-Proof Fence,87%,142,2002
237,Baran,89%,62,2002
238,Lilo & Stitch,86%,146,2002
239,Late Marriage,88%,64,2002
240,Lovely & Amazing,86%,123,2002
241,I Am Trying to Break Your Heart,88%,60,2002
242,Harry Potter and the Chamber of Secrets,82%,234,2002
243,Monster's Ball,85%,143,2002
244,Springtime in a Small Town (Xiao cheng zhi chun),88%,43,2002
245,24 Hour Party People,86%,99,2002
246,The Bourne Identity,83%,189,2002
247,Narc,84%,158,2002
248,The Rookie,84%,153,2002
249,Blind Spot: Hitler's Secretary,86%,85,2002
250,Lawless Heart,87%,53,2002
251,Spider,84%,135,2002
252,Metropolis,86%,63,2002
253,Son of the Bride,86%,57,2002
254,One Hour Photo,81%,196,2002
255,The Good Girl,82%,158,2002
256,Road to Perdition,80%,215,2002
257,Kissing Jessica Stein,83%,120,2002
258,Elling,85%,59,2002
259,The Royal Tenenbaums,80%,207,2002
260,Real Women Have Curves,84%,85,2002
261,La Stanza del Figlio (The Son's Room),84%,83,2002
262,Morvern Callar,84%,80,2002
263,Punch-Drunk Love,80%,192,2002
264,The Hours,80%,192,2002
265,Margaret Cho - Notorious C.H.O.,84%,68,2002
266,Barbershop,82%,124,2002
267,The Believer,83%,92,2002
268,Stuart Little 2,81%,123,2002
269,All or Nothing,82%,92,2002
270,Pauline & Paulette,83%,54,2002
271,Drumline,82%,84,2002
272,Satin Rouge,83%,47,2002
273,Better Luck Tomorrow,81%,106,2002
274,Antwone Fisher,79%,151,2002
275,Secret Ballot,82%,57,2002
276,Sunshine State,80%,109,2002
277,Gigantic,82%,45,2002
278,8 Women (8 Femmes),79%,125,2002
279,The Wild Thornberrys Movie,80%,89,2002
280,Tully,81%,53,2002
281,Biggie and Tupac,81%,47,2002
282,Ice Age,77%,166,2002
283,Nicholas Nickleby,78%,126,2002
284,8 Mile,75%,213,2002
285,Changing Lanes,77%,151,2002
286,Last Orders,79%,89,2002
287,Tadpole,78%,107,2002
288,Undercover Brother,77%,130,2002
289,Secretary,76%,155,2002
290,Panic Room,75%,185,2002
291,Gangs of New York,74%,209,2002
292,Signs,73%,233,2002
293,The Dangerous Lives of Altar Boys,77%,111,2002
294,Igby Goes Down,76%,135,2002
295,Warm Water Under a Red Bridge (Akai Hashi No Shita Noo Nurui Mizu),79%,43,2002
296,My Big Fat Greek Wedding,76%,129,2002
297,Frida,75%,153,2002
298,Comedian,77%,90,2002
299,11'09''01 - September 11,78%,58,2002
300,Finding Nemo,99%,262,2003
301,Lost In Translation,95%,228,2003
302,Capturing the Friedmans,97%,152,2003
303,The Lord of the Rings: The Return of the King,93%,272,2003
304,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,96%,140,2003
305,American Splendor,94%,186,2003
306,Sweet Sixteen,97%,88,2003
307,Raising Victor Vargas,96%,109,2003
308,Bus 174 (Ônibus 174),97%,78,2003
309,Chavez: Inside the Coup,98%,47,2003
310,Winged Migration,95%,133,2003
311,The Station Agent,94%,158,2003
312,To Be and to Have (Etre et Avoir),97%,59,2003
313,The Triplets of Belleville,94%,147,2003
314,Dirty Pretty Things,94%,142,2003
315,Festival Express,96%,80,2003
316,School of Rock,91%,196,2003
317,Los Angeles Plays Itself,96%,45,2003
318,Lost in La Mancha,94%,100,2003
319,"Spring, Summer, Fall, Winter...and Spring",94%,99,2003
320,Shattered Glass,91%,172,2003
321,Cidade de Deus (City of God),91%,159,2003
322,The Best of Youth (La meglio gioventù),94%,63,2003
323,Whale Rider,91%,151,2003
324,The Magdalene Sisters,91%,149,2003
325,The Man on the Train (L'homme du train),92%,114,2003
326,Alien: The Director's Cut,94%,49,2003
327,Far From Heaven,88%,218,2003
328,In America,89%,176,2003
329,Mystic River,88%,204,2003
330,Baadasssss!,91%,108,2003
331,Saraband,91%,85,2003
332,Stevie,91%,75,2003
333,28 Days Later,86%,225,2003
334,I'm Not Scared (Io non ho paura),90%,100,2003
335,X2: X-Men United,85%,243,2003
336,A Mighty Wind,87%,175,2003
337,Tokyo Godfathers,90%,67,2003
338,Master and Commander: The Far Side of the World,85%,213,2003
339,Freaky Friday,87%,151,2003
340,Kill Bill: Volume 1,84%,232,2003
341,Memories of Murder,90%,40,2003
342,Zatôichi (The Blind Swordsman: Zatoichi),87%,126,2003
343,The Quiet American,86%,154,2003
344,In This World,89%,63,2003
345,Bend It like Beckham,85%,152,2003
346,The Five Obstructions,88%,60,2003
