,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
4598,Baghead,"['Jay Duplass', 'Mark Duplass']","Jun 13, 2008","

                                88 minutes
                            
","['Jay Duplass', 'Mark Duplass']",79%,95.0,2008.0,"Comedy,Drama,Horror",6.0,4014.0,1.586,5.7,38.0,1.0,"['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']","['Jay Duplass', 'Mark Duplass']"
4600,Appaloosa,['Sidney J. Furie'],"Jan 1, 1966","

                                99 minutes
                            
","['James Bridges', 'Roland Kibbee']",76%,161.0,2008.0,"Crime,Drama,Romance",6.8,55388.0,8.902,6.5,468.0,9.0,['Sidney J. Furie'],['Sidney J. Furie'],['Sidney J. Furie'],['Sidney J. Furie']
10804,Ashes of Time Redux,['Kar-Wai Wong'],"Oct 10, 2008","

                                94 minutes
                            
",['Kar-Wai Wong'],79%,86.0,2008.0,,,,,,,,['Kar-Wai Wong'],['Kar-Wai Wong'],['Kar-Wai Wong'],['Kar-Wai Wong']
4605,I Served the King of England,['Jirí Menzel'],"Aug 29, 2008","$600,000",['Jirí Menzel'],79%,86.0,2008.0,,,,3.06,7.1,37.0,12.0,['Jirí Menzel'],['Jirí Menzel'],['Jirí Menzel'],['Jirí Menzel']
10804,Un Secret,['Claude Miller'],"Jun 5, 2008","$451,586","['Claude Miller', 'Natalie Carter']",,,,,,,,,,,['Claude Miller'],['Claude Miller'],['Claude Miller'],['Claude Miller']
4606,Afterschool,['Antonio Campos'],"May 18, 2008","

                                106 minutes
                            
",['Antonio Campos'],80%,44.0,2008.0,"Drama,Mystery",6.1,3917.0,2.385,5.7,46.0,10.0,['Antonio Campos'],['Antonio Campos'],['Antonio Campos'],['Antonio Campos']
4614,Body of War,"['Phil Donahue', 'Ellen Spiro']","Mar 19, 2008","
Phil Donahue Enterprises
",[],80%,41.0,2008.0,,,,0.713,8.3,4.0,9.0,"['Phil Donahue', 'Ellen Spiro']","['Phil Donahue', 'Ellen Spiro']","['Phil Donahue', 'Ellen Spiro']","['Phil Donahue', 'Ellen Spiro']"
4620,Water Lilies,['Céline Sciamma'],"Apr 4, 2008","

                                85 minutes
                            
",['Céline Sciamma'],78%,45.0,2008.0,,,,6.491,6.0,96.0,5.0,['Céline Sciamma'],['Céline Sciamma'],['Céline Sciamma'],['Céline Sciamma']
4695,Quantum of Solace,['Marc Forster'],"Nov 14, 2008","$168,400,000","['Neal Purvis', 'Robert Wade', 'Paul Haggis']",65%,287.0,2008.0,"Action,Adventure,Thriller",6.6,374737.0,23.945,6.2,4338.0,10.0,['Marc Forster'],['Marc Forster'],['Marc Forster'],['Marc Forster']
4697,The Incredible Hulk,['Louis Leterrier'],"Jun 12, 2008","$134,518,390",['Zak Penn'],67%,227.0,2008.0,"Action,Adventure,Sci-Fi",6.8,390812.0,23.694,6.2,5846.0,6.0,['Louis Leterrier'],['Louis Leterrier'],['Louis Leterrier'],['Louis Leterrier']
4706,American Teen,['Nanette Burstein'],"Jan 19, 2008","$785,817",['Nanette Burstein'],70%,151.0,2008.0,Documentary,6.5,3975.0,1.586,6.3,29.0,7.0,['Nanette Burstein'],['Nanette Burstein'],['Nanette Burstein'],['Nanette Burstein']
4712,Up,"['Pete Docter', 'Bob Peterson']","May 29, 2009","$292,979,556","['Bob Peterson', 'Pete Docter', 'Tom McCarthy', 'Ronnie del Carmen']",98%,290.0,2009.0,"Adventure,Animation,Comedy",8.3,832604.0,20.146,7.9,11876.0,5.0,"['Pete Docter', 'Bob Peterson']","['Pete Docter', 'Bob Peterson']","['Pete Docter', 'Bob Peterson']","['Pete Docter', 'Bob Peterson']"
4733,Star Trek,['J.J. Abrams'],"May 7, 2009","$257,704,099","['Gene Roddenberry', 'Alex Kurtzman', 'Roberto Orci']",94%,342.0,2009.0,"Action,Adventure,Sci-Fi",8.0,553847.0,19.323,7.4,6242.0,5.0,['J.J. Abrams'],['J.J. Abrams'],['J.J. Abrams'],['J.J. Abrams']
4754,Afghan Star,['Havana Marking'],"Mar 30, 2010","
Zeitgeist Films
",[],100%,60.0,2009.0,"Documentary,Music",7.3,908.0,1.4,6.6,8.0,6.0,['Havana Marking'],['Havana Marking'],['Havana Marking'],['Havana Marking']
4756,An Education,['Lone Scherfig'],"Oct 9, 2009","$12,512,069",['Nick Hornby'],95%,189.0,2009.0,Drama,7.3,122568.0,8.391,7.0,694.0,10.0,['Lone Scherfig'],['Lone Scherfig'],['Lone Scherfig'],['Lone Scherfig']
4770,Drag Me to Hell,['Sam Raimi'],"May 29, 2009","$42,100,000","['Sam Raimi', 'Ivan Raimi']",92%,262.0,2009.0,"Horror,Thriller",6.6,175928.0,10.509,6.2,1751.0,3.0,['Sam Raimi'],['Sam Raimi'],['Sam Raimi'],['Sam Raimi']
4772,District 9,['Neill Blomkamp'],"Aug 14, 2009","$115,646,235","['Neill Blomkamp', 'Terri Tatchell']",90%,308.0,2009.0,"Action,Sci-Fi,Thriller",7.9,599668.0,14.465,7.3,5270.0,8.0,['Neill Blomkamp'],['Neill Blomkamp'],['Neill Blomkamp'],['Neill Blomkamp']
4725,Up in the Air,"['Howard Bretherton', 'Howard P. Bretherton']","Mar 18, 2003","
                        
                            Monogram
                        
                    ","['Jason Reitman', 'Sheldon Turner', 'Ed Kelso']",91%,278.0,2009.0,"Comedy,Drama,Romance",7.4,299028.0,10.05,6.8,1955.0,9.0,"['Howard Bretherton', 'Howard P. Bretherton']","['Howard Bretherton', 'Howard P. Bretherton']","['Howard Bretherton', 'Howard P. Bretherton']","['Howard Bretherton', 'Howard P. Bretherton']"
4779,In the Loop,['Armando Iannucci'],"Jul 24, 2009","$2,251,324","['Simon Blackwell', 'Jesse Armstrong', 'Tony Roche', 'Armando Iannucci']",94%,172.0,2009.0,Comedy,7.5,50664.0,7.227,7.2,291.0,1.0,['Armando Iannucci'],['Armando Iannucci'],['Armando Iannucci'],['Armando Iannucci']
4801,Coraline,['Henry Selick'],"Feb 6, 2009","$75,169,351",['Henry Selick'],90%,261.0,2009.0,"Animation,Drama,Fantasy",7.7,176895.0,14.419,7.5,2917.0,2.0,['Henry Selick'],['Henry Selick'],['Henry Selick'],['Henry Selick']
4803,Sweetgrass,"['Lucien Castaing-Taylor', 'Ilisa Barbash']","Aug 3, 2010","

                                105 minutes
                            
",[],97%,60.0,2009.0,"Adventure,Documentary,Western",6.9,807.0,1.093,6.9,14.0,2.0,"['Lucien Castaing-Taylor', 'Ilisa Barbash']","['Lucien Castaing-Taylor', 'Ilisa Barbash']","['Lucien Castaing-Taylor', 'Ilisa Barbash']","['Lucien Castaing-Taylor', 'Ilisa Barbash']"
4804,Inglourious Basterds,['Quentin Tarantino'],"Aug 21, 2009","$120,523,073",['Quentin Tarantino'],88%,317.0,2009.0,"Adventure,Drama,War",8.3,1102858.0,25.034,8.1,11422.0,8.0,['Quentin Tarantino'],['Quentin Tarantino'],['Quentin Tarantino'],['Quentin Tarantino']
4807,Revanche,['Götz Spielmann'],"May 1, 2009","

                                121 minutes
                            
",['Götz Spielmann'],96%,81.0,2009.0,,,,4.348,7.4,80.0,5.0,['Götz Spielmann'],['Götz Spielmann'],['Götz Spielmann'],['Götz Spielmann']
4827,Zombieland,['Ruben Fleischer'],"Oct 2, 2009","$75,590,286","['Rhett Reese', 'Paul Wernick']",90%,244.0,2009.0,"Adventure,Comedy,Horror",7.6,452777.0,13.772,7.2,6118.0,10.0,['Ruben Fleischer'],['Ruben Fleischer'],['Ruben Fleischer'],['Ruben Fleischer']
4831,Tulpan,"['Sergei Dvortsevoy', 'Sergey Dvortsevoy', 'Sergay Dvortsevoy']","Apr 1, 2009","

                                100 minutes
                            
","['Sergei Dvortsevoy', 'Gennadiy Ostrovskiy', 'Sergey Dvortsevoy']",96%,69.0,2009.0,,,,1.978,6.4,26.0,3.0,"['Sergei Dvortsevoy', 'Sergey Dvortsevoy', 'Sergay Dvortsevoy']","['Sergei Dvortsevoy', 'Sergey Dvortsevoy', 'Sergay Dvortsevoy']","['Sergei Dvortsevoy', 'Sergey Dvortsevoy', 'Sergay Dvortsevoy']","['Sergei Dvortsevoy', 'Sergey Dvortsevoy', 'Sergay Dvortsevoy']"
10804,Somers Town,['Shane Meadows'],"Jul 15, 2009","

                                75 minutes
                            
",['Paul Fraser'],96%,55.0,2009.0,,,,,,,,['Shane Meadows'],['Shane Meadows'],['Shane Meadows'],['Shane Meadows']
10804,Good Hair,['Jeff Stilson'],"Oct 9, 2009","$4,061,847","['Chris Rock', 'Jeff Stilson', 'Lance Crouther', 'Chuck Sklar']",95%,83.0,2009.0,"Comedy,Documentary",6.9,5213.0,,,,,['Jeff Stilson'],['Jeff Stilson'],['Jeff Stilson'],['Jeff Stilson']
4836,Ponyo,['Hayao Miyazaki'],"Aug 14, 2009","$15,100,000","['Hayao Miyazaki', 'Melissa Mathison']",92%,165.0,2009.0,,,,19.347,7.6,1660.0,7.0,['Hayao Miyazaki'],['Hayao Miyazaki'],['Hayao Miyazaki'],['Hayao Miyazaki']
4859,Crazy Heart,['Scott Cooper'],"Dec 16, 2009","$38,349,555",['Scott Cooper'],90%,205.0,2009.0,"Drama,Music,Romance",7.3,78903.0,7.61,6.9,456.0,12.0,['Scott Cooper'],['Scott Cooper'],['Scott Cooper'],['Scott Cooper']
4863,Tokyo Sonata,['Kiyoshi Kurosawa'],"Mar 13, 2009","$103,045","['Kiyoshi Kurosawa', 'Sachiko Tanaka', 'Max Mannix']",,,,,,,3.474,7.3,78.0,9.0,['Kiyoshi Kurosawa'],['Kiyoshi Kurosawa'],['Kiyoshi Kurosawa'],['Kiyoshi Kurosawa']
4864,Of Time and the City,['Terence Davies'],"Jan 23, 2009","

                                77 minutes
                            
",['Terence Davies'],95%,56.0,2009.0,,,,1.133,7.1,14.0,10.0,['Terence Davies'],['Terence Davies'],['Terence Davies'],['Terence Davies']
4866,Goodbye Solo,['Ramin Bahrani'],"Mar 27, 2009","$809,220","['Ramin Bahrani', 'Bahareh Azimi']",93%,107.0,2009.0,,,,1.577,6.8,35.0,8.0,['Ramin Bahrani'],['Ramin Bahrani'],['Ramin Bahrani'],['Ramin Bahrani']
4867,Moon,['Duncan Jones'],"Jun 12, 2009","$4,785,434","['Nathan Parker', 'Duncan Jones']",90%,191.0,2009.0,"Drama,Mystery,Sci-Fi",7.9,309381.0,13.823,7.6,2965.0,6.0,['Duncan Jones'],['Duncan Jones'],['Duncan Jones'],['Duncan Jones']
4887,A Serious Man,"['Roger Deakins', 'Joel Coen', 'Ethan Coen']","Oct 2, 2009","$9,190,525","['Joel Coen', 'Ethan Coen']",89%,215.0,2009.0,"Comedy,Drama",7.1,120530.0,7.474,6.7,909.0,10.0,"['Roger Deakins', 'Joel Coen', 'Ethan Coen']","['Roger Deakins', 'Joel Coen', 'Ethan Coen']","['Roger Deakins', 'Joel Coen', 'Ethan Coen']","['Roger Deakins', 'Joel Coen', 'Ethan Coen']"
10804,La Nana,['Sebastián Silva'],"Oct 16, 2009","$500,000","['Sebastián Silva', 'Pedro Peirano']",,,,,,,,,,,['Sebastián Silva'],['Sebastián Silva'],['Sebastián Silva'],['Sebastián Silva']
4903,Adventureland,['Greg Mottola'],"Apr 3, 2009","$15,900,000",['Greg Mottola'],88%,213.0,2009.0,"Comedy,Drama,Romance",6.8,145870.0,10.109,6.4,1216.0,4.0,['Greg Mottola'],['Greg Mottola'],['Greg Mottola'],['Greg Mottola']
4905,Every Little Step,"['Adam Del Deo', 'James D. Stern']","Oct 13, 2009","

                                93 minutes
                            
",[],92%,96.0,2009.0,,,,1.429,5.8,8.0,9.0,"['Adam Del Deo', 'James D. Stern']","['Adam Del Deo', 'James D. Stern']","['Adam Del Deo', 'James D. Stern']","['Adam Del Deo', 'James D. Stern']"
4907,Red Cliff,['John Woo'],"Nov 20, 2009","$526,841","['Kuo Zheng', 'John Woo', 'Khan Chan', 'Kuo Cheng', 'Sheng Heyu', 'Guo Zheng', 'Chan Khan']",,,,,,,11.128,7.2,345.0,7.0,['John Woo'],['John Woo'],['John Woo'],['John Woo']
4923,The Messenger,['Oren Moverman'],"Nov 13, 2009","$1,006,655","['Oren Moverman', 'Alessandro Camon']",89%,157.0,2009.0,"Drama,Romance,War",7.1,32308.0,6.281,6.7,203.0,11.0,['Oren Moverman'],['Oren Moverman'],['Oren Moverman'],['Oren Moverman']
4943,Il Divo,['Paolo Sorrentino'],"Apr 23, 2009","$200,000",['Paolo Sorrentino'],92%,49.0,2009.0,,,,12.536,7.7,415.0,5.0,['Paolo Sorrentino'],['Paolo Sorrentino'],['Paolo Sorrentino'],['Paolo Sorrentino']
10804,Etz Limon,['Eran Riklis'],"Apr 17, 2009","$467,072","['Eran Riklis', 'Suha Arraf']",,,,,,,,,,,['Eran Riklis'],['Eran Riklis'],['Eran Riklis'],['Eran Riklis']
10804,500 Days of Summer,['Marc Webb'],"Jul 17, 2009","$32,118,648","['Scott Neustadter', 'Michael H. Weber']",85%,225.0,2009.0,"Comedy,Drama,Romance",7.7,437094.0,,,,,['Marc Webb'],['Marc Webb'],['Marc Webb'],['Marc Webb']
4966,Avatar,['James Cameron'],"Dec 18, 2009","$749,700,000",['James Cameron'],82%,304.0,2009.0,"Action,Adventure,Fantasy",7.8,1032172.0,30.708,7.4,18062.0,12.0,['James Cameron'],['James Cameron'],['James Cameron'],['James Cameron']
4986,Harry Potter and the Half-Blood Prince,['David Yates (II)'],"Jul 15, 2009","$301,920,409",['Steve Kloves'],83%,272.0,2009.0,"Adventure,Family,Fantasy",7.6,412327.0,25.171,7.6,10072.0,7.0,['David Yates (II)'],['David Yates (II)'],['David Yates (II)'],['David Yates (II)']
4987,The Girl with the Dragon Tattoo,['David Fincher'],"Dec 20, 2011","$102,515,793",['Steven Zaillian'],86%,184.0,2009.0,"Crime,Drama,Mystery",7.8,196557.0,14.005,7.3,3824.0,12.0,['David Fincher'],['David Fincher'],['David Fincher'],['David Fincher']
4990,Sin Nombre,['Jaume Balagueró'],"Sep 9, 2005","

                                102 minutes
                            
",['Jaume Balagueró'],88%,118.0,2009.0,"Adventure,Crime,Drama",7.6,29367.0,5.869,7.4,218.0,3.0,['Jaume Balagueró'],['Jaume Balagueró'],['Jaume Balagueró'],['Jaume Balagueró']
5021,Whip It,['Drew Barrymore'],"Oct 2, 2009","$13,000,000",['Shauna Cross'],84%,185.0,2009.0,"Drama,Sport",6.9,60944.0,6.939,6.7,598.0,9.0,['Drew Barrymore'],['Drew Barrymore'],['Drew Barrymore'],['Drew Barrymore']
5022,Me and Orson Welles,['Richard Linklater'],"Nov 25, 2009","$1,070,524","['Vince Palmo Jr.', 'Holly Gent Palmo']",85%,155.0,2009.0,,,,4.415,6.6,92.0,11.0,['Richard Linklater'],['Richard Linklater'],['Richard Linklater'],['Richard Linklater']
5033,The White Ribbon,['Michael Haneke'],"Dec 30, 2009","$2,077,054",['Michael Haneke'],,,,,,,7.432,7.5,433.0,10.0,['Michael Haneke'],['Michael Haneke'],['Michael Haneke'],['Michael Haneke']
10804,Paranormal Activity,['Oren Peli'],"Sep 25, 2009","$107,901,736",['Oren Peli'],83%,199.0,2009.0,,,,,,,,['Oren Peli'],['Oren Peli'],['Oren Peli'],['Oren Peli']
10804,Disneynature Earth,"['Mark Linfield', 'Alastair Fothergill']","Apr 22, 2009","$31,959,266","['Alastair Fothergill', 'Mark Linfield', 'Leslie Megahey']",86%,92.0,2009.0,,,,,,,,"['Mark Linfield', 'Alastair Fothergill']","['Mark Linfield', 'Alastair Fothergill']","['Mark Linfield', 'Alastair Fothergill']","['Mark Linfield', 'Alastair Fothergill']"
5037,Treeless Mountain,['So Yong Kim'],"Apr 22, 2009","

                                89 minutes
                            
",['So Yong Kim'],87%,61.0,2009.0,,,,1.09,6.7,14.0,8.0,['So Yong Kim'],['So Yong Kim'],['So Yong Kim'],['So Yong Kim']
5049,Skin,['Guy Nattiv'],"Jul 26, 2019","
                        
                            A24
                        
                    ",['Guy Nattiv'],86%,63.0,2009.0,,,,3.226,8.1,22.0,8.0,['Guy Nattiv'],['Guy Nattiv'],['Guy Nattiv'],['Guy Nattiv']
5069,Gran Torino,['Clint Eastwood'],"Jan 9, 2009","$148,055,047",['Nick Schenk'],80%,230.0,2009.0,,,,14.142,7.9,5504.0,12.0,['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood']
5071,Bright Star,['Jane Campion'],"May 15, 2009","$4,341,275",['Jane Campion'],82%,171.0,2009.0,"Biography,Drama,Romance",7.0,23836.0,5.05,6.7,223.0,11.0,['Jane Campion'],['Jane Campion'],['Jane Campion'],['Jane Campion']
5086,Pontypool,['Bruce McDonald'],"May 29, 2009","

                                95 minutes
                            
",['Tony Burgess'],84%,86.0,2009.0,,,,5.376,6.5,281.0,3.0,['Bruce McDonald'],['Bruce McDonald'],['Bruce McDonald'],['Bruce McDonald']
5089,Soul Power,['Jeffrey Levy-Hinte'],"Jan 26, 2010","

                                93 minutes
                            
",[],84%,74.0,2009.0,,,,0.623,5.9,8.0,9.0,['Jeffrey Levy-Hinte'],['Jeffrey Levy-Hinte'],['Jeffrey Levy-Hinte'],['Jeffrey Levy-Hinte']
5094,Broken Embraces,['Pedro Almodóvar'],"Nov 20, 2009","$4,900,000",['Pedro Almodóvar'],81%,153.0,2009.0,"Drama,Romance,Thriller",7.2,35440.0,5.015,7.1,276.0,3.0,['Pedro Almodóvar'],['Pedro Almodóvar'],['Pedro Almodóvar'],['Pedro Almodóvar']
5095,The Hangover,['Todd Phillips'],"Jun 5, 2009","$277,313,371","['Jon Lucas', 'Todd Phillips']",78%,236.0,2009.0,Comedy,7.7,663788.0,19.179,7.2,10037.0,6.0,['Todd Phillips'],['Todd Phillips'],['Todd Phillips'],['Todd Phillips']
5103,Black Dynamite,"['Shawn Maurer', 'Scott Sanders']","Oct 16, 2009","$131,862","['Byron Keith Minns', 'Scott Sanders', 'Byron Minns', 'Michael Jai White']",83%,63.0,2009.0,"Action,Comedy",7.4,42523.0,6.947,7.2,295.0,10.0,"['Shawn Maurer', 'Scott Sanders']","['Shawn Maurer', 'Scott Sanders']","['Shawn Maurer', 'Scott Sanders']","['Shawn Maurer', 'Scott Sanders']"
10804,Bakjwi,['Chan-wook Park'],"Apr 30, 2009","$296,441","['Chan-wook Park', 'Chung Seo-Kyung', 'Chung Chung-Hoon']",,,,,,,,,,,['Chan-wook Park'],['Chan-wook Park'],['Chan-wook Park'],['Chan-wook Park']
3126,Bandslam,['Todd Graff'],"Aug 14, 2009","$5,205,343","['Josh A. Cagan', 'Todd Graff']",81%,100.0,2009.0,"Comedy,Drama,Family",6.3,13108.0,5.887,5.5,246.0,8.0,['Todd Graff'],['Todd Graff'],['Todd Graff'],['Todd Graff']
5108,Collapse,['Javier Barbera'],"Aug 21, 2007","
                        
                            Laguna Productions, Inc.
                        
                    ",['Javier Barbera'],83%,41.0,2009.0,"Drama,Family,Short",8.0,17.0,2.843,7.6,56.0,9.0,['Javier Barbera'],['Javier Barbera'],['Javier Barbera'],['Javier Barbera']
5128,Invictus,['Clint Eastwood'],"Dec 11, 2009","$37,431,431",['Anthony Peckham'],76%,240.0,2009.0,"Biography,Drama,History",7.3,139922.0,9.946,7.2,2020.0,12.0,['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood']
5131,It Might Get Loud,['Davis Guggenheim'],"Dec 22, 2009","

                                98 minutes
                            
",[],80%,113.0,2009.0,,,,5.357,7.3,83.0,9.0,['Davis Guggenheim'],['Davis Guggenheim'],['Davis Guggenheim'],['Davis Guggenheim']
5132,Humpday,['Lynn Shelton'],"Jul 10, 2009","$254,272",['Lynn Shelton'],79%,136.0,2009.0,"Comedy,Drama,Romance",6.0,5147.0,2.472,5.4,38.0,9.0,['Lynn Shelton'],['Lynn Shelton'],['Lynn Shelton'],['Lynn Shelton']
5133,We Live in Public,['Ondi Timoner'],"Aug 28, 2009","

                                89 minutes
                            
",['Ondi Timoner'],82%,49.0,2009.0,Documentary,7.2,1720.0,1.111,7.4,23.0,8.0,['Ondi Timoner'],['Ondi Timoner'],['Ondi Timoner'],['Ondi Timoner']
5154,A Town Called Panic,"['Stéphane Aubier', 'Vincent Patar']","Dec 16, 2009","$165,349","['Stéphane Aubier', 'Vincent Patar', 'Guillaume Malandrin', 'Vincent Tavier']",,,,,,,4.29,7.5,75.0,6.0,"['Stéphane Aubier', 'Vincent Patar']","['Stéphane Aubier', 'Vincent Patar']","['Stéphane Aubier', 'Vincent Patar']","['Stéphane Aubier', 'Vincent Patar']"
5182,Where the Wild Things Are,['Spike Jonze'],"Oct 16, 2009","$77,222,184","['Dave Eggers', 'Spike Jonze']",72%,264.0,2009.0,"Adventure,Drama,Family",6.8,96003.0,9.107,6.4,932.0,10.0,['Spike Jonze'],['Spike Jonze'],['Spike Jonze'],['Spike Jonze']
10804,A Summer In Genoa,['Michael Winterbottom'],"Mar 27, 2009","

                                93 minutes
                            
","['Michael Winterbottom', 'Laurence Coriat']",79%,43.0,2009.0,,,,,,,,['Michael Winterbottom'],['Michael Winterbottom'],['Michael Winterbottom'],['Michael Winterbottom']
10804,Toy Story 3,['Lee Unkrich'],"Jun 18, 2010","$414,984,497","['Lee Unkrich', 'Andrew Stanton', 'John Lasseter', 'Michael Arndt']",98%,300.0,2010.0,"Adventure,Animation,Comedy",8.3,671393.0,,,,,['Lee Unkrich'],['Lee Unkrich'],['Lee Unkrich'],['Lee Unkrich']
10804,How to Train Your Dragon,"['Dean DeBlois', 'Chris Sanders']","Mar 26, 2010","$216,900,000","['Chris Sanders', 'Dean DeBlois', 'William Davies']",99%,206.0,2010.0,"Action,Adventure,Animation",8.1,601606.0,,,,,"['Dean DeBlois', 'Chris Sanders']","['Dean DeBlois', 'Chris Sanders']","['Dean DeBlois', 'Chris Sanders']","['Dean DeBlois', 'Chris Sanders']"
10804,The Social Network,['David Fincher'],"Oct 1, 2010","$96,400,000",['Aaron Sorkin'],95%,309.0,2010.0,"Biography,Drama",7.7,563663.0,,,,,['David Fincher'],['David Fincher'],['David Fincher'],['David Fincher']
10804,True Grit,['Henry Hathaway'],"Jun 11, 1969","

                                128 minutes
                            
",['Marguerite Roberts'],96%,270.0,2010.0,"Adventure,Drama,Western",7.6,281242.0,,,,,['Henry Hathaway'],['Henry Hathaway'],['Henry Hathaway'],['Henry Hathaway']
10804,Inside Job,['Charles Ferguson (III) '],"Oct 8, 2010","$4,311,834","['Charles Ferguson (III) ', 'Chad Beck', 'Adam Bolt']",98%,146.0,2010.0,"Crime,Documentary",8.3,64893.0,,,,,['Charles Ferguson (III) '],['Charles Ferguson (III) '],['Charles Ferguson (III) '],['Charles Ferguson (III) ']
10804,Waste Land,"['Lucy Walker', 'João Jardim', 'Karen Harley']","Mar 15, 2011","

                                95 minutes
                            
",[],100%,71.0,2010.0,Documentary,7.9,7977.0,,,,,"['Lucy Walker', 'João Jardim', 'Karen Harley']","['Lucy Walker', 'João Jardim', 'Karen Harley']","['Lucy Walker', 'João Jardim', 'Karen Harley']","['Lucy Walker', 'João Jardim', 'Karen Harley']"
10804,A Prophet,['Jacques Audiard'],"Feb 26, 2010","$1,515,303","['Jacques Audiard', 'Thomas Bidegain', 'Nicolas Peufaillit', 'Abdel Raouf Dafri']",,,,,,,,,,,['Jacques Audiard'],['Jacques Audiard'],['Jacques Audiard'],['Jacques Audiard']
5191,127 Hours,['Danny Boyle'],"Nov 5, 2010","$18,329,466","['Danny Boyle', 'Simon Beaufoy']",93%,229.0,2010.0,"Adventure,Biography,Drama",7.6,320575.0,15.647,7.0,4291.0,11.0,['Danny Boyle'],['Danny Boyle'],['Danny Boyle'],['Danny Boyle']
5192,The Town,['Ben Affleck'],"Sep 17, 2010","$92,173,235","['Peter Craig', 'Ben Affleck', 'Aaron Stockard']",93%,224.0,2010.0,"Crime,Drama,Thriller",7.6,319767.0,13.676,7.1,2289.0,9.0,['Ben Affleck'],['Ben Affleck'],['Ben Affleck'],['Ben Affleck']
5212,Animal Kingdom,['David Michôd'],"Aug 13, 2010","$1,000,000",['David Michôd'],95%,160.0,2010.0,"Crime,Drama",7.3,51242.0,8.644,6.8,385.0,6.0,['David Michôd'],['David Michôd'],['David Michôd'],['David Michôd']
5225,The Kids Are All Right,['Lisa Cholodenko'],"Jul 9, 2010","$20,803,237","['Lisa Cholodenko', 'Stuart Blumberg']",93%,220.0,2010.0,"Comedy,Drama,Romance",7.0,120135.0,8.193,6.5,830.0,7.0,['Lisa Cholodenko'],['Lisa Cholodenko'],['Lisa Cholodenko'],['Lisa Cholodenko']
5226,Marwencol,['Jeff Malmberg'],"Apr 12, 2011","

                                83 minutes
                            
",[],98%,60.0,2010.0,"Biography,Documentary,Fantasy",7.6,3018.0,2.754,7.3,26.0,3.0,['Jeff Malmberg'],['Jeff Malmberg'],['Jeff Malmberg'],['Jeff Malmberg']
5228,Restrepo,"['Sebastian Junger', 'Tim Hetherington']","Dec 7, 2010","

                                93 minutes
                            
",[],96%,114.0,2010.0,"Documentary,War",7.5,20436.0,6.283,7.5,177.0,6.0,"['Sebastian Junger', 'Tim Hetherington']","['Sebastian Junger', 'Tim Hetherington']","['Sebastian Junger', 'Tim Hetherington']","['Sebastian Junger', 'Tim Hetherington']"
5230,Mother,['Mikio Naruse'],"Jun 12, 1952","
                        
                            Concordia Pictures
                        
                    ",['Yoko Mizuki'],,,,,,,2.18,6.4,31.0,12.0,['Mikio Naruse'],['Mikio Naruse'],['Mikio Naruse'],['Mikio Naruse']
5250,Ajami,"['Scandar Copti', 'Yaron Shani']","Feb 3, 2010","$500,000","['Scandar Copti', 'Yaron Shani']",97%,68.0,2010.0,,,,2.272,7.3,34.0,9.0,"['Scandar Copti', 'Yaron Shani']","['Scandar Copti', 'Yaron Shani']","['Scandar Copti', 'Yaron Shani']","['Scandar Copti', 'Yaron Shani']"
5252,A Film Unfinished,['Yael Hersonski'],"Jan 1, 2011","

                                89 minutes
                            
",[],97%,64.0,2010.0,"Documentary,Drama,History",7.3,1618.0,1.335,7.0,15.0,8.0,['Yael Hersonski'],['Yael Hersonski'],['Yael Hersonski'],['Yael Hersonski']
10804,Exit Through The Gift Shop,['Banksy'],"Dec 14, 2010","

                                86 minutes
                            
",[],95%,110.0,2010.0,,,,,,,,['Banksy'],['Banksy'],['Banksy'],['Banksy']
5255,The Fighter,['David O. Russell'],"Dec 10, 2010","$93,571,803","['Eric Johnson', 'Scott Silver', 'Paul Tamasy', 'Paul Attanasio']",90%,241.0,2010.0,"Biography,Drama,Sport",7.8,314088.0,11.824,7.3,2255.0,12.0,['David O. Russell'],['David O. Russell'],['David O. Russell'],['David O. Russell']
5275,Another Year,['Mike Leigh'],"Dec 29, 2010","$3,200,000",['Mike Leigh'],92%,171.0,2010.0,"Comedy,Drama",7.3,26120.0,7.385,7.1,144.0,11.0,['Mike Leigh'],['Mike Leigh'],['Mike Leigh'],['Mike Leigh']
5278,Inception,['Christopher Nolan'],"Jul 16, 2010","$292,568,851",['Christopher Nolan'],86%,347.0,2010.0,"Action,Adventure,Sci-Fi",8.8,1812000.0,40.863,8.3,21428.0,7.0,['Christopher Nolan'],['Christopher Nolan'],['Christopher Nolan'],['Christopher Nolan']
5283,Best Worst Movie,['Michael Stephenson'],"Apr 23, 2010","$103,194",['Michael Stephenson'],95%,64.0,2010.0,,,,3.963,7.4,74.0,1.0,['Michael Stephenson'],['Michael Stephenson'],['Michael Stephenson'],['Michael Stephenson']
