,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
227,Lakeboat,['Joe Mantegna'],"Jun 1, 2000","

                                98 minutes
                            
",['David Mamet'],83%,42.0,2000.0,Drama,6.2,580.0,1.801,5.0,3.0,4.0,['Joe Mantegna'],['Joe Mantegna'],['Joe Mantegna'],['Joe Mantegna']
228,Requiem for a Dream,['Darren Aronofsky'],"Oct 6, 2000","$2,546,851","['Darren Aronofsky', 'Hubert Selby Jr.']",79%,136.0,2000.0,Drama,8.3,691758.0,4.755,8.0,4635.0,10.0,['Darren Aronofsky'],['Darren Aronofsky'],['Darren Aronofsky'],['Darren Aronofsky']
232,Shanghai Noon,['Tom Dey'],"May 26, 2000","

                                110 minutes
                            
","['Miles Millar', 'Alfred Gough']",79%,134.0,2000.0,"Action,Adventure,Comedy",6.6,110929.0,9.607,6.3,1267.0,5.0,['Tom Dey'],['Tom Dey'],['Tom Dey'],['Tom Dey']
234,The Vertical Ray of the Sun,['Anh Hung Tran'],"May 24, 2000","

                                112 minutes
                            
",['Anh Hung Tran'],,,,,,,1.896,6.8,27.0,5.0,['Anh Hung Tran'],['Anh Hung Tran'],['Anh Hung Tran'],['Anh Hung Tran']
235,Gladiator,['Ridley Scott'],"May 5, 2000","

                                171 minutes
                            
","['David H. Franzoni', 'William Nicholson', 'John Logan']",76%,194.0,2000.0,"Action,Adventure,Drama",8.5,1195014.0,18.938,8.1,9294.0,5.0,['Ridley Scott'],['Ridley Scott'],['Ridley Scott'],['Ridley Scott']
256,Space Cowboys,['Clint Eastwood'],"Aug 4, 2000","

                                135 minutes
                            
","['Ken Kaufman', 'Howard Klausner']",78%,119.0,2000.0,"Action,Adventure,Thriller",6.4,68014.0,7.537,6.3,638.0,7.0,['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood'],['Clint Eastwood']
264,Quills,['Philip Kaufman'],"Nov 22, 2000","$4,284,664",['Doug Wright'],75%,126.0,2000.0,"Biography,Drama",7.3,48794.0,6.024,6.9,230.0,11.0,['Philip Kaufman'],['Philip Kaufman'],['Philip Kaufman'],['Philip Kaufman']
10804,Keep the River on Your Right,"['David Shapiro', 'Laurie Gwen Shapiro', 'Laurie Shapiro']","Oct 29, 2002","
                        
                            IFC Films
                        
                    ",[],78%,50.0,2000.0,,,,,,,,"['David Shapiro', 'Laurie Gwen Shapiro', 'Laurie Shapiro']","['David Shapiro', 'Laurie Gwen Shapiro', 'Laurie Shapiro']","['David Shapiro', 'Laurie Gwen Shapiro', 'Laurie Shapiro']","['David Shapiro', 'Laurie Gwen Shapiro', 'Laurie Shapiro']"
268,Finding Forrester,['Gus Van Sant'],"Dec 20, 2000","$51,370,406",['Mike Rich'],74%,127.0,2000.0,Drama,7.3,78628.0,7.593,7.1,511.0,12.0,['Gus Van Sant'],['Gus Van Sant'],['Gus Van Sant'],['Gus Van Sant']
270,Remember the Titans,['Boaz Yakin'],"Mar 20, 2001","

                                113 minutes
                            
",[],73%,132.0,2000.0,"Biography,Drama,Sport",7.8,183054.0,9.759,7.6,1285.0,9.0,['Boaz Yakin'],['Boaz Yakin'],['Boaz Yakin'],['Boaz Yakin']
